,Material Description
250,Pdx Wire # 10 (2.6 Mm)
251,Pdx Wire # 12 (2.0 Mm)
252,Pdx Wire # 14 (1.6 Mm)
253,Pvc Elbow # 2
254,"Pvc Elbow Short 1 1/2"""
255,"Pvc Elbow Short 1"""
256,"Pvc Male Adaptor 1 1/2"""
257,Pvc Male Adaptor 1 W/ Lock Nut
258,"Pvc Male Plug 1"""
259,"Pvc Pipe (10') 1/2"""
260,"Pvc Pipe 1 1/2"" X 10'"
261,Pvcpipe #4
262,Padlock Seal
263,Pin Insulator 55-4
264,Pin Insulator 56-1
265,Pin Insulator 55-3
266,Pin Insulator 55-5
267,Pipe Spacer
268,Pole Band Transformer Bracket
269,"Pole Clamp Double Support 10"""
270,Pole Clamp Double Support 11-12
271,Pole Clamp Double Support 5-6 Dia
272,Pole Clamp Double Support 6-7 Dia.
273,Pole Clamp Double Support 7-8 Dia
274,Pole Clamp Double Support 9-10 Dia.
275,Pole Clamp For Diagonal Support 7-8 Dia
276,Pole Clamp Single Support 5-6 Dia
277,Pole Clamp Single Support 6-7 Dia.
278,Pole Clamp Single Support 7-8 Dia
279,Pole Top Pin ''20''
280,Pole Top Pin 1 3/8 Dia. ''20''
281,Potential Transformer Ratio: 63.5 Kv  (Bn)
282,Potential Transformer Ratio: 70:1A (Bn)
283,Power Fuse Assembly
284,Power Fuse S/C 69Kv Smd-100E Bn
285,Power Fuse Smd-50 65E Bn
286,Pvc Pipe # 2
287,"Pvc Pipe 1"""
288,Pvc Solvent Neltex
289,Receptacle
290,Recloser (Feeder Protection) 3 Phase 15 Kv
291,Rectangular Meter Base Cl 200 13 Jaws
292,Rectangular Meter Base Cl 200 13 Jaws W/Test Block
293,Rectangular Meter Base Cl 200 7 Jaws
294,Rectangular Meter Base Cl 200 8 Jaws (Old)
295,Rectangular Meter Base Cl200 4 Jaws
296,Rectangular Meter Base Cl200 5 Jaws
297,"Reducer 1' X 1/2"""
298,Rod Tapping # 2/0
299,Round Washer
300,Rubber Tape
301,Safety Switch W/Fuse (30A)
302,Service Grip #6
303,Single Phase  Cut-Out  Mounted Recloser
304,Single Upset Bolt 5/8 X 10
305,Single Upset Bolt 5/8 X 12
306,Single Upset Bolt 5/8 X 14
307,Single Upset Bolt 5/8 X 16
308,Single Upset Bolt 5/8 X 8
309,Single Upset Bolt 5/8 X 9
310,Solderless 200Mm
311,Solderless 250Mm
312,Solderless Connector # 2 (30Mm)
313,Solderless Connector # 2/0 (60Mm)
314,Solderless Connector # 4  (22Mm)
315,Solderless Connector # 6 (14Mm)
316,Soldrless Connector # 1/0 (50Mm)
317,Split Bolt Connector
318,Split Bolt Connector/Solderless # 3/0
319,Split Bolt Connector/Solderless # 4/0 250 Mcm
320,Split Bolt Connector/Solderless # 4/0 350 Mcm
321,Spool Insulator 1 3/4 Dia
322,Spool Insulator 1 3/8 Dia
323,"Spool Insulator 3"""
324,Square Washer 2 X 2
325,Square Washer 3 X 3 Curve
326,Square Washer 3 X 3 X 1/4 W/ 1316 Dia. Hole
327,Square Washer 4 X 4
328,Square Washer 4 X 4 X 1/4
329,Stainless Strap 1/2
330,Stainless Banding  Clip 3/4
331,Stainless Banding Clip 1/2
332,Stainless Strap 3/4
333,Staple Wire
334,Steel Brace 28 Span
335,Steel Crossarm 10 Ft.
336,Steel Crossarm 22 Ft
337,Steel Crossarm 8 Ft.
338,Steel Pin Clamp Type
339,Steel Pin Long Shank
340,"Steel Pin Long Shank 5/8 X 13 3/4"" X 1 3/8"""
341,"Steel Pin Long Shank 5/8 X 13 3/4"" X 1"""
342,Steel Pole 25 Ft.
343,Steel Pole 30 Ft.
344,Steel Pole 35 Ft.
345,Steel Pole 40 Ft.
346,Steel Pole 45 Ft.
347,Steel Pole 50 Ft
348,Steel Pole 70 Ft
349,Steel Pole 90 Ft
350,"Steel Reducer #2 X 1 1/2"""
351,Stocks As Of May  2025
352,Suspension Insulator # 5 3/4 X  10
353,Suspension Clamp # 2/0
354,Suspension Clamp # 4/0
355,Suspension Clamp 336.4 Mcm
356,Suspension Insulator # 6
357,Tapping Rod # 4/0
358,Termina Lug # 6 Crimp Type
359,Terminal Lug # 2/0 Crimp Type 2 Hole
